"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","01.01.2025 00:00 - 01.01.2025 01:00 (CET/CEST)","141","n/e","n/e","n/e","26","47","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","35","929","532"
"BZN|DK2","01.01.2025 01:00 - 01.01.2025 02:00 (CET/CEST)","147","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","35","537","527"
"BZN|DK2","01.01.2025 02:00 - 01.01.2025 03:00 (CET/CEST)","160","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","205","527"
"BZN|DK2","01.01.2025 03:00 - 01.01.2025 04:00 (CET/CEST)","153","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","204","531"
"BZN|DK2","01.01.2025 04:00 - 01.01.2025 05:00 (CET/CEST)","159","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","35","392","517"
"BZN|DK2","01.01.2025 05:00 - 01.01.2025 06:00 (CET/CEST)","132","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","34","397","518"
"BZN|DK2","01.01.2025 06:00 - 01.01.2025 07:00 (CET/CEST)","131","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","401","524"
"BZN|DK2","01.01.2025 07:00 - 01.01.2025 08:00 (CET/CEST)","147","n/e","n/e","n/e","27","40","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","551","528"
"BZN|DK2","01.01.2025 08:00 - 01.01.2025 09:00 (CET/CEST)","181","n/e","n/e","n/e","28","41","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","888","529"
"BZN|DK2","01.01.2025 09:00 - 01.01.2025 10:00 (CET/CEST)","164","n/e","n/e","n/e","28","41","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","42","901","522"
"BZN|DK2","01.01.2025 10:00 - 01.01.2025 11:00 (CET/CEST)","162","n/e","n/e","n/e","28","41","8","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","10","42","903","528"
"BZN|DK2","01.01.2025 11:00 - 01.01.2025 12:00 (CET/CEST)","170","n/e","n/e","n/e","28","42","9","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","38","921","543"
