HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2022-11-02T00:00:00,2022-11-02T01:00:00,DK2,181.199997,24.34
2022-11-02T01:00:00,2022-11-02T02:00:00,DK2,129.380005,17.379999
2022-11-02T02:00:00,2022-11-02T03:00:00,DK2,113.75,15.28
2022-11-02T03:00:00,2022-11-02T04:00:00,DK2,150.380005,20.200001
2022-11-02T04:00:00,2022-11-02T05:00:00,DK2,223.410004,30.01
2022-11-02T05:00:00,2022-11-02T06:00:00,DK2,518.950012,69.709999
2022-11-02T06:00:00,2022-11-02T07:00:00,DK2,723.52002,97.190002
2022-11-02T07:00:00,2022-11-02T08:00:00,DK2,723.0,97.120003
2022-11-02T08:00:00,2022-11-02T09:00:00,DK2,543.659973,73.029999
2022-11-02T09:00:00,2022-11-02T10:00:00,DK2,350.480011,47.080002
2022-11-02T10:00:00,2022-11-02T11:00:00,DK2,316.980011,42.580002
2022-11-02T11:00:00,2022-11-02T12:00:00,DK2,297.329987,39.939999
2022-11-02T12:00:00,2022-11-02T13:00:00,DK2,392.019989,52.66
2022-11-02T13:00:00,2022-11-02T14:00:00,DK2,537.26001,72.169998
2022-11-02T14:00:00,2022-11-02T15:00:00,DK2,679.669983,91.300003
2022-11-02T15:00:00,2022-11-02T16:00:00,DK2,728.359985,97.839996
2022-11-02T16:00:00,2022-11-02T17:00:00,DK2,1088.670044,146.240005
2022-11-02T17:00:00,2022-11-02T18:00:00,DK2,1043.180054,140.130005
2022-11-02T18:00:00,2022-11-02T19:00:00,DK2,777.419983,104.43
2022-11-02T19:00:00,2022-11-02T20:00:00,DK2,705.429993,94.760002
2022-11-02T20:00:00,2022-11-02T21:00:00,DK2,621.909973,83.540001
2022-11-02T21:00:00,2022-11-02T22:00:00,DK2,658.679993,88.480003
2022-11-02T22:00:00,2022-11-02T23:00:00,DK2,569.27002,76.470001
2022-11-02T23:00:00,2022-11-03T00:00:00,DK2,497.579987,66.849998
2022-11-03T00:00:00,2022-11-03T01:00:00,DK2,417.040009,56.029999
2022-11-03T01:00:00,2022-11-03T02:00:00,DK2,289.910004,38.950001
2022-11-03T02:00:00,2022-11-03T03:00:00,DK2,299.290009,40.209999
2022-11-03T03:00:00,2022-11-03T04:00:00,DK2,316.109985,42.470001
2022-11-03T04:00:00,2022-11-03T05:00:00,DK2,372.160004,50.0
2022-11-03T05:00:00,2022-11-03T06:00:00,DK2,565.690002,76.0
2022-11-03T06:00:00,2022-11-03T07:00:00,DK2,649.049988,87.199997
2022-11-03T07:00:00,2022-11-03T08:00:00,DK2,625.460022,84.029999
2022-11-03T08:00:00,2022-11-03T09:00:00,DK2,669.0,89.879997
2022-11-03T09:00:00,2022-11-03T10:00:00,DK2,679.049988,91.230003
2022-11-03T10:00:00,2022-11-03T11:00:00,DK2,763.380005,102.559998
2022-11-03T11:00:00,2022-11-03T12:00:00,DK2,749.01001,100.629997
2022-11-03T12:00:00,2022-11-03T13:00:00,DK2,795.380005,106.860001
2022-11-03T13:00:00,2022-11-03T14:00:00,DK2,932.340027,125.260002
2022-11-03T14:00:00,2022-11-03T15:00:00,DK2,1014.51001,136.300003
2022-11-03T15:00:00,2022-11-03T16:00:00,DK2,994.570007,133.619995
2022-11-03T16:00:00,2022-11-03T17:00:00,DK2,1023.150024,137.460007
2022-11-03T17:00:00,2022-11-03T18:00:00,DK2,958.02002,128.710007
