"Imbalance settlement period (CET/CEST)","+ Imbalance Price [EUR/MWh] - IPA|DK2","+ Scarcity [EUR/MWh] - IPA|DK2","+ Incentive [EUR/MWh] - IPA|DK2","+ Financial Neutrality [EUR/MWh] - IPA|DK2","- Imbalance Price [EUR/MWh] - IPA|DK2","- Scarcity [EUR/MWh] - IPA|DK2","- Incentive [EUR/MWh] - IPA|DK2","- Financial Neutrality [EUR/MWh] - IPA|DK2","Currency","Status","Total Imbalance [MWh] - IPA|DK2","Difference","Situation","Status"
"01.01.2023 00:00 - 01.01.2023 01:00","-6.72","","","","-6.72","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 01:00 - 01.01.2023 02:00","1.38","","","","1.38","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 02:00 - 01.01.2023 03:00","-6.00","","","","-6.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 03:00 - 01.01.2023 04:00","-6.00","","","","-6.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 04:00 - 01.01.2023 05:00","-6.00","","","","-6.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 05:00 - 01.01.2023 06:00","-0.40","","","","-0.40","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 06:00 - 01.01.2023 07:00","-2.50","","","","-2.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 07:00 - 01.01.2023 08:00","-5.00","","","","-5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 08:00 - 01.01.2023 09:00","-5.00","","","","-5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 09:00 - 01.01.2023 10:00","-7.00","","","","-7.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 10:00 - 01.01.2023 11:00","-7.00","","","","-7.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 11:00 - 01.01.2023 12:00","-7.00","","","","-7.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 12:00 - 01.01.2023 13:00","-5.00","","","","-5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 13:00 - 01.01.2023 14:00","-5.00","","","","-5.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 14:00 - 01.01.2023 15:00","0.45","","","","0.45","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 15:00 - 01.01.2023 16:00","9.51","","","","9.51","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 16:00 - 01.01.2023 17:00","132.20","","","","132.20","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 17:00 - 01.01.2023 18:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 18:00 - 01.01.2023 19:00","150.00","","","","150.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 19:00 - 01.01.2023 20:00","100.00","","","","100.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 20:00 - 01.01.2023 21:00","29.00","","","","29.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 21:00 - 01.01.2023 22:00","44.99","","","","44.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 22:00 - 01.01.2023 23:00","45.96","","","","45.96","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"01.01.2023 23:00 - 02.01.2023 00:00","35.00","","","","35.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 00:00 - 02.01.2023 01:00","57.91","","","","57.91","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 01:00 - 02.01.2023 02:00","76.43","","","","76.43","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 02:00 - 02.01.2023 03:00","85.63","","","","85.63","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 03:00 - 02.01.2023 04:00","32.27","","","","32.27","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 04:00 - 02.01.2023 05:00","50.08","","","","50.08","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 05:00 - 02.01.2023 06:00","70.73","","","","70.73","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 06:00 - 02.01.2023 07:00","43.00","","","","43.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 07:00 - 02.01.2023 08:00","140.64","","","","140.64","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 08:00 - 02.01.2023 09:00","145.98","","","","145.98","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 09:00 - 02.01.2023 10:00","125.00","","","","125.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 10:00 - 02.01.2023 11:00","115.09","","","","115.09","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 11:00 - 02.01.2023 12:00","153.50","","","","153.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 12:00 - 02.01.2023 13:00","175.00","","","","175.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 13:00 - 02.01.2023 14:00","160.00","","","","160.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 14:00 - 02.01.2023 15:00","122.00","","","","122.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 15:00 - 02.01.2023 16:00","128.00","","","","128.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 16:00 - 02.01.2023 17:00","162.89","","","","162.89","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 17:00 - 02.01.2023 18:00","175.01","","","","175.01","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 18:00 - 02.01.2023 19:00","189.00","","","","189.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 19:00 - 02.01.2023 20:00","164.46","","","","164.46","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 20:00 - 02.01.2023 21:00","153.00","","","","153.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 21:00 - 02.01.2023 22:00","128.00","","","","128.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 22:00 - 02.01.2023 23:00","53.79","","","","53.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"02.01.2023 23:00 - 03.01.2023 00:00","53.79","","","","53.79","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 00:00 - 03.01.2023 01:00","114.50","","","","114.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 01:00 - 03.01.2023 02:00","118.74","","","","118.74","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 02:00 - 03.01.2023 03:00","108.50","","","","108.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 03:00 - 03.01.2023 04:00","71.44","","","","71.44","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 04:00 - 03.01.2023 05:00","103.00","","","","103.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 05:00 - 03.01.2023 06:00","77.14","","","","77.14","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 06:00 - 03.01.2023 07:00","152.00","","","","152.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 07:00 - 03.01.2023 08:00","210.00","","","","210.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 08:00 - 03.01.2023 09:00","210.00","","","","210.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 09:00 - 03.01.2023 10:00","199.00","","","","199.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 10:00 - 03.01.2023 11:00","197.00","","","","197.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 11:00 - 03.01.2023 12:00","196.00","","","","196.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 12:00 - 03.01.2023 13:00","184.50","","","","184.50","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 13:00 - 03.01.2023 14:00","180.00","","","","180.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 14:00 - 03.01.2023 15:00","201.00","","","","201.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 15:00 - 03.01.2023 16:00","200.00","","","","200.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 16:00 - 03.01.2023 17:00","197.00","","","","197.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 17:00 - 03.01.2023 18:00","250.00","","","","250.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 18:00 - 03.01.2023 19:00","250.00","","","","250.00","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 19:00 - 03.01.2023 20:00","160.99","","","","160.99","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 20:00 - 03.01.2023 21:00","149.62","","","","149.62","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
"03.01.2023 21:00 - 03.01.2023 22:00","131.05","","","","131.05","","","","EUR","Estimated","n/e","n/e","n/e","n/e"
