"Imbalance settlement period CET/CEST","Generation / + Imbalance price [Currency/MWh] - IBA|DK2","Generation / - Imbalance price [Currency/MWh] - IBA|DK2","Price for consumption [Currency/MWh] - IBA|DK2","Currency","Status","Total Imbalance [MWh] - IBA|DK2","Difference","Situation","Status"
"01.01.2023 00:00 - 01.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","16","","Deficit","Final"
"01.01.2023 01:00 - 01.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","25","","Deficit","Final"
"01.01.2023 02:00 - 01.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","88","","Deficit","Final"
"01.01.2023 03:00 - 01.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","119","","Deficit","Final"
"01.01.2023 04:00 - 01.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","99","","Surplus","Final"
"01.01.2023 05:00 - 01.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","149","","Surplus","Final"
"01.01.2023 06:00 - 01.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","150","","Surplus","Final"
"01.01.2023 07:00 - 01.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","12","","Surplus","Final"
"01.01.2023 08:00 - 01.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"01.01.2023 09:00 - 01.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","28","","Surplus","Final"
"01.01.2023 10:00 - 01.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","44","","Deficit","Final"
"01.01.2023 11:00 - 01.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","43","","Surplus","Final"
"01.01.2023 12:00 - 01.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","23","","Deficit","Final"
"01.01.2023 13:00 - 01.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","15","","Deficit","Final"
"01.01.2023 14:00 - 01.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","81","","Deficit","Final"
"01.01.2023 15:00 - 01.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","4","","Surplus","Final"
"01.01.2023 16:00 - 01.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","73","","Surplus","Final"
