HourUTC,HourDK,PriceArea,aFRR_DownPurchased,aFRR_UpPurchased,aFRR_DownCapPriceDKK,aFRR_DownCapPriceEUR,aFRR_UpCapPriceDKK,aFRR_UpCapPriceEUR
2022-12-31T23:00:00,2023-01-01T00:00:00,DK2,0.0,0.0,1115.475,150.0,594.92,80.0
2023-01-01T00:00:00,2023-01-01T01:00:00,DK2,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01T01:00:00,2023-01-01T02:00:00,DK2,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01T02:00:00,2023-01-01T03:00:00,DK2,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01T03:00:00,2023-01-01T04:00:00,DK2,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01T04:00:00,2023-01-01T05:00:00,DK2,0.0,0.0,1487.3,200.0,632.1025,85.0
2023-01-01T05:00:00,2023-01-01T06:00:00,DK2,0.0,0.0,1487.3,200.0,594.92,80.0
2023-01-01T06:00:00,2023-01-01T07:00:00,DK2,0.0,0.0,1487.3,200.0,594.92,80.0
2023-01-01T07:00:00,2023-01-01T08:00:00,DK2,0.0,0.0,1487.3,200.0,594.92,80.0
2023-01-01T08:00:00,2023-01-01T09:00:00,DK2,0.0,0.0,1338.57,180.0,557.7375,75.0
2023-01-01T09:00:00,2023-01-01T10:00:00,DK2,0.0,0.0,1338.57,180.0,446.19,60.0
2023-01-01T10:00:00,2023-01-01T11:00:00,DK2,0.0,0.0,1338.57,180.0,446.19,60.0
2023-01-01T11:00:00,2023-01-01T12:00:00,DK2,0.0,0.0,1189.84,160.0,446.19,60.0
2023-01-01T12:00:00,2023-01-01T13:00:00,DK2,0.0,0.0,1189.84,160.0,409.0075,55.0
2023-01-01T13:00:00,2023-01-01T14:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T14:00:00,2023-01-01T15:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T15:00:00,2023-01-01T16:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T16:00:00,2023-01-01T17:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T17:00:00,2023-01-01T18:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T18:00:00,2023-01-01T19:00:00,DK2,0.0,0.0,699.031,94.0,409.0075,55.0
2023-01-01T19:00:00,2023-01-01T20:00:00,DK2,0.0,0.0,1189.84,160.0,446.19,60.0
2023-01-01T20:00:00,2023-01-01T21:00:00,DK2,0.0,0.0,1338.57,180.0,483.3725,65.0
