HourUTC,HourDK,mFRR_DownExpected,mFRR_DownPurchased,mFRR_DownPriceDKK,mFRR_DownPriceEUR,mFRR_UpExpected,mFRR_UpPurchased,mFRR_UpPriceDKK,mFRR_UpPriceEUR
2020-12-31T23:00:00,2021-01-01T00:00:00,0.0,0.0,0.0,0.0,261.0,269.0,196.0,26.34
2021-01-01T00:00:00,2021-01-01T01:00:00,0.0,0.0,0.0,0.0,261.0,269.0,196.0,26.34
2021-01-01T01:00:00,2021-01-01T02:00:00,0.0,0.0,0.0,0.0,261.0,269.0,196.0,26.34
2021-01-01T02:00:00,2021-01-01T03:00:00,0.0,0.0,0.0,0.0,261.0,264.0,168.0,22.58
2021-01-01T03:00:00,2021-01-01T04:00:00,0.0,0.0,0.0,0.0,261.0,264.0,168.0,22.58
2021-01-01T04:00:00,2021-01-01T05:00:00,0.0,0.0,0.0,0.0,261.0,264.0,168.0,22.58
2021-01-01T05:00:00,2021-01-01T06:00:00,0.0,0.0,0.0,0.0,261.0,269.0,196.0,26.34
2021-01-01T06:00:00,2021-01-01T07:00:00,0.0,0.0,0.0,0.0,261.0,269.0,196.0,26.34
2021-01-01T07:00:00,2021-01-01T08:00:00,0.0,0.0,0.0,0.0,261.0,271.0,196.0,26.34
2021-01-01T08:00:00,2021-01-01T09:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T09:00:00,2021-01-01T10:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T10:00:00,2021-01-01T11:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T11:00:00,2021-01-01T12:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T12:00:00,2021-01-01T13:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T13:00:00,2021-01-01T14:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T14:00:00,2021-01-01T15:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T15:00:00,2021-01-01T16:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T16:00:00,2021-01-01T17:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
2021-01-01T17:00:00,2021-01-01T18:00:00,0.0,0.0,0.0,0.0,261.0,295.0,200.0,26.879999
